param,optim,lb,ub
del_D,-8.482046511911063e-5,-0.0017876398655460727,0.0011727657561195971
del_T,0.06960773139239718,0.06070996879677728,0.07856348366252461
k1_ANT,35.36410865310449,32.94340044629098,38.085854391307706
k2_ANT,11.121930278374954,9.915475789588646,12.513744968853915
k3_ANT,20.362387860974735,13.34999681359895,34.56701452350703
k4_ANT,29.595955252391285,27.439560882714748,32.22314173451874
K_D_o_ANT,48.0868003142889,37.60613023515655,62.21871438374967
K_T_o_ANT,51.7162859907798,42.07623213604092,63.43899964764364
A,0.26800159288744274,0.26516281282732757,0.269854403683768
B,-0.20502623361808958,-0.21021258872671675,-0.19970407367831763
C,0.18772774728178543,0.186040488207248,0.19186246736093693
